player_name,player_key,ppn,player_full_name,matched_by,fuzzy_score,is_correct
Alexis Gurmendi,63093.0,A. Gurmendi,Alexis Gurmendi,sorted_name,,ok
Alfred Almasi,40205.0,A. Almasi,Alfred Almasi,sorted_name,,ok
Alfredo Perez,3778.0,A. Perez,Alfredo Perez,sorted_name,,ok
Ali Habib,947.0,A. Habib,Ali Habib,sorted_name,,ok
Ali Missoum,69972.0,A. Missoum,Ali Missoum,sorted_name,,ok
Ali Yazdani,11166.0,A. Yazdani,Ali Yazdani,sorted_name,,ok
Aliaksandr Liaonenka,13387.0,A. Liaonenka,Aliaksandr Liaonenka,sorted_name,,ok
Felix Auger-Aliassime,2073.0,F. Auger-Aliassime,Felix Auger-Aliassime,sorted_name,,ok
Alibek Kachmazov,1197.0,A. Kachmazov,Alibek Kachmazov,sorted_name,,ok
Mikail Alimli,1887.0,M. Alimli,Mikail Alimli,sorted_name,,ok
Aljaz Jeran,54748.0,A. Jeran,Aljaz Jeran,sorted_name,,ok
Mert Alkaya,8972.0,M. Alkaya,Mert Alkaya,sorted_name,,ok
Mohammad Alkotop,58066.0,M. Alkotop,Mohammad Alkotop,sorted_name,,ok
Mousa Alkotop,11224.0,M. Alkotop,Mousa Alkotop,sorted_name,,ok
Louis Allen,5784.0,L. Allen,Louis Allen,sorted_name,,ok
Izan Almazan Valiente,57826.0,I. Almazan Valiente,Izan Almazan Valiente,sorted_name,,ok
Pedro Andre De Almeida Santos,68047.0,P. A. De Almeida Santos,Andre De Almeida Santos Pedro,sorted_name,,ok
Gustavo Ribeiro De Almeida,40143.0,G. R. De Almeida,Gustavo Ribeiro de Almeida,sorted_name,,ok
Matheus Pucinelli De Almeida,1743.0,M. Pucinelli de Almeida,Matheus Pucinelli de Almeida,sorted_name,,ok
Jose Dominguez Alonso,74771.0,J. Dominguez Alonso,Jose Dominguez Alonso,sorted_name,,ok
Alp Horoz,12173.0,A. Horoz,Alp Horoz,sorted_name,,ok
Collin Altamirano,5917.0,C. Altamirano,Collin Altamirano,sorted_name,,ok
Daniel Altmaier,1099.0,D. Altmaier,Daniel Altmaier,sorted_name,,ok
Rodrigo Alujas,55470.0,. R. Alujas,Rodrigo Alujas,sorted_name,,ok
Patricio Alvarado,37929.0,P. Alvarado,Patricio Alvarado,sorted_name,,ok
Mateo Luis Alvarez Sarmiento,56892.0,M. L. Alvarez Sarmiento,Luis Alvarez Sarmiento Mateo,sorted_name,,ok
Marco Alvarez,67514.0,M. Alvarez,Marco Alvarez,sorted_name,,ok
Nicolas Alvarez Varona,565.0,N. Alvarez Varona,Nicolas Alvarez Varona,sorted_name,,ok
Alvaro Bueno Gil,59839.0,A. Bueno Gil,Alvaro Bueno Gil,sorted_name,,ok
Alvaro Guillen Meza,9230.0,A. Guillen Meza,Alvaro Guillen Meza,sorted_name,,ok
Alvaro Jimenez,72052.0,A. Jimenez,Alvaro Jimenez,sorted_name,,ok
Alvaro Peiro Serrano,38020.0,S. A. Peiro,Alvaro Peiro Serrano,sorted_name,,ok
Felipe Meligeni Alves,357.0,F. Meligeni Alves,Felipe Meligeni Alves,sorted_name,,ok
Mateus Alves,28260.0,M. Alves,Mateus Alves,sorted_name,,ok
Nicolas Rafael Goldberg Alviani,23587.0,N. R. Goldberg Alviani,Rafael Goldberg Alviani Nicolas,sorted_name,,ok
Alvin Nicholas Tudorica,52605.0,A. N. Tudorica,Nicholas Tudorica Alvin,sorted_name,,ok
Amador Salazar,19802.0,A. Salazar,Amador Salazar,sorted_name,,ok
Ramiro Amarilla,59891.0,R. Amarilla,Ramiro Amarilla,sorted_name,,ok
Amaury Raynel,700.0,A. Raynel,Amaury Raynel,sorted_name,,ok
Edison Ambarzumjan,38076.0,E. Ambarzumjan,Edison Ambarzumjan,sorted_name,,ok
Luciano Emanuel Ambrogi,14270.0,L. E. Ambrogi,Emanuel Ambrogi Luciano,sorted_name,,ok
Hamza El Amine,38262.0,A. H. El,Hamza El Amine,sorted_name,,ok
Amine Jamji,81473.0,A. Jamji,Amine Jamji,sorted_name,,ok
Amir Milushev,55761.0,A. Milushev,Amir Milushev,sorted_name,,ok
Amir Omarkhanov,63488.0,A. Omarkhanov,Amir Omarkhanov,sorted_name,,ok
Amirali Ghavam,49345.0,A. Ghavam,Amirali Ghavam,sorted_name,,ok
Amirkhamza Nasridinov,62411.0,A. Nasridinov,Amirkhamza Nasridinov,sorted_name,,ok
Amit Vales,35790.0,A. Vales,Amit Vales,sorted_name,,ok
Ammar Elamin,11185.0,A. Elamin,Ammar Elamin,sorted_name,,ok
Amr Elsayed,676.0,A. Elsayed,Amr Elsayed,sorted_name,,ok
Kai-An Wu,89073.0,Wu Kai An,An Wu Kai,sorted_name,,ok
Anas Bennour Dit Sahli,63834.0,S. A. Bennour D.,Anas Bennour Dit Sahli,sorted_name,,ok
Anas Mazdrashki,63409.0,A. Mazdrashki,Anas Mazdrashki,sorted_name,,ok
Melih Anavatan,68069.0,M. Anavatan,Melih Anavatan,sorted_name,,ok
Fabrizio Andaloro,9568.0,F. Andaloro,Fabrizio Andaloro,sorted_name,,ok
Anders Matta,57161.0,A. Matta,Anders Matta,sorted_name,,ok
Oliver Anderson,67768.0,O. Anderson,Oliver Anderson,sorted_name,,ok
Andres Andrade,6505.0,A. Andrade,Andres Andrade,sorted_name,,ok
Lucas Andrade Da Silva,57484.0,L. Andrade da Silva,Lucas Andrade da Silva,sorted_name,,ok
Paulo Andre Saraiva Dos Santos,10508.0,P. A. Saraiva Dos Santos,Andre Saraiva Dos Santos Paulo,sorted_name,,ok
Oliver Andre Solis Encinas,93885.0,O. A. Solis E.,Andre Solis Encinas Oliver,sorted_name,,ok
Andre Ilagan,37936.0,A. Ilagan,Andre Ilagan,sorted_name,,ok
Seydina Andre,19223.0,S. Andre,Seydina Andre,sorted_name,,ok
Andre Steinbach,73131.0,A. Steinbach,Andre Steinbach,sorted_name,,ok
Andrea Bacaloni,38115.0,A. Bacaloni,Andrea Bacaloni,sorted_name,,ok
Andrea Collarini,2189.0,A. Collarini,Andrea Collarini,sorted_name,,ok
Andrea Colombo,1017.0,A. Colombo,Andrea Colombo,sorted_name,,ok
Andrea De Marchi,63398.0,A. de Marchi,Andrea de Marchi,sorted_name,,ok
Andrea Fiorentini,40088.0,A. Fiorentini,Andrea Fiorentini,sorted_name,,ok
Andrea Gola,2522.0,A. Gola,Andrea Gola,sorted_name,,ok
Andrea Guerrieri,853.0,A. Guerrieri,Andrea Guerrieri,sorted_name,,ok
Marc-Andrea Huesler,1746.0,M. Huesler,Marc-Andrea Huesler,sorted_name,,ok
Andrea M'Chich,38777.0,A. Mchich,Andrea M'Chich,sorted_name,,ok
Andrea Meduri,66628.0,A. Meduri,Andrea Meduri,sorted_name,,ok
Andrea Motta,75576.0,A. Motta,Andrea Motta,sorted_name,,ok
Andrea Paolini,68143.0,A. Paolini,Andrea Paolini,sorted_name,,ok
Andrea Pellegrino,2001.0,A. Pellegrino,Andrea Pellegrino,sorted_name,,ok
Andrea Picchione,8782.0,A. Picchione,Andrea Picchione,sorted_name,,ok
Andrea Vavassori,418.0,A. Vavassori,Andrea Vavassori,sorted_name,,ok
Andreas Messis,81140.0,A. Messis,Andreas Messis,sorted_name,,ok
Andreas Timini,62413.0,A. Timini,Andreas Timini,sorted_name,,ok
Andrei Corneliu Gadoiu,83103.0,A. C. Gadoiu,Corneliu Gadoiu Andrei,sorted_name,,ok
Vlad Andrei Dancu,686.0,V. A. Dancu,Andrei Dancu Vlad,sorted_name,,ok
Andrei Kunitsyn,82604.0,A. Kunitsyn,Andrei Kunitsyn,sorted_name,,ok
Andrej Loncarevic,86674.0,A. Loncarevic,Andrej Loncarevic,sorted_name,,ok
Andrej Nedic,9640.0,. A. Nedic,Andrej Nedic,sorted_name,,ok
Andreja Petrovic,20359.0,A. Petrovic,Andreja Petrovic,sorted_name,,ok
Guido Andreozzi,2960.0,G. Andreozzi,Guido Andreozzi,sorted_name,,ok
Luis Andres Flores Avila,94649.0,L. A. Flores Avila,Andres Flores Avila Luis,sorted_name,,ok
Roman Andres Burruchaga,9596.0,R. A. Burruchaga,Andres Burruchaga Roman,sorted_name,,ok
Andres Fernandez Canovas,40036.0,A. Fernandez Canovas,Andres Fernandez Canovas,sorted_name,,ok
Andres Gabriel Ciurletti,2210.0,A. G. Ciurletti,Gabriel Ciurletti Andres,sorted_name,,ok
