place,player,player_key,league,movement,country,points,download_time
493,Marie Vogt,28610.0,WTA,up,Germany,110,2026-02-14 02:29:48
494,Anastasia Kulikova,458.0,WTA,down,Finland,109,2026-02-14 02:29:48
495,Alessandra Mazzola,15681.0,WTA,down,Italy,109,2026-02-14 02:29:48
496,Florencia Urrutia Maria,54084.0,WTA,down,Argentina,109,2026-02-14 02:29:48
497,Yuki Naito,,WTA,up,Japan,109,2026-02-14 02:29:48
498,Jiaqi Wang,,WTA,down,China,108,2026-02-14 02:29:48
499,Ena Koike,40075.0,WTA,down,Japan,108,2026-02-14 02:29:48
500,Camilla Zanolini,55115.0,WTA,down,Italy,108,2026-02-14 02:29:48
501,Josy Daems,40135.0,WTA,down,Germany,108,2026-02-14 02:29:48
502,Shiho Akita,4315.0,WTA,up,Japan,107,2026-02-14 02:29:48
503,Anja Stankovic,52257.0,WTA,up,Serbia,107,2026-02-14 02:29:48
504,Georgeta Simion Oana,167.0,WTA,same,Romania,107,2026-02-14 02:29:48
505,Xinxin Yao,46.0,WTA,down,China,106,2026-02-14 02:29:48
