place,player,player_key,league,movement,country,points,download_time
192,Bernard Tomic,3145.0,ATP,down,Australia,313,2026-02-12 02:42:18
193,Nishesh Basavareddy,15270.0,ATP,down,USA,310,2026-02-12 02:42:18
194,Justin Engel,55060.0,ATP,down,Germany,309,2026-02-12 02:42:18
195,Jerome Kym,1304.0,ATP,up,Switzerland,307,2026-02-12 02:42:18
196,Agustin Gomez Federico,717.0,ATP,down,Argentina,306,2026-02-12 02:42:18
197,Thiago Seyboth Wild,1086.0,ATP,down,Brazil,305,2026-02-12 02:42:18
198,Clement Chidekh,7102.0,ATP,down,France,304,2026-02-12 02:42:18
199,August Holmgren,19536.0,ATP,same,Denmark,303,2026-02-12 02:42:18
200,Alex Molcan,436.0,ATP,same,Slovakia,302,2026-02-12 02:42:18
201,Dan Added,1854.0,ATP,down,France,299,2026-02-12 02:42:18
202,Alvaro Guillen Meza,9230.0,ATP,up,Ecuador,298,2026-02-12 02:42:18
203,Jason Kubler,364.0,ATP,up,Australia,295,2026-02-12 02:42:18
204,George Loffhagen,7006.0,ATP,down,United Kingdom,295,2026-02-12 02:42:18
205,Pablo Llamas Ruiz,987.0,ATP,up,Spain,292,2026-02-12 02:42:18
206,Lorenzo Giustino,370.0,ATP,down,Italy,292,2026-02-12 02:42:18
207,Lucas Reis Da Silva Joao,2408.0,ATP,same,Brazil,291,2026-02-12 02:42:18
208,James McCabe,1882.0,ATP,same,Australia,289,2026-02-12 02:42:18
209,Thiago Monteiro,1074.0,ATP,down,Brazil,283,2026-02-12 02:42:18
210,Arnaud Bailly Gilles,10840.0,ATP,up,Belgium,280,2026-02-12 02:42:18
211,Carlos Prado Angelo Juan,21704.0,ATP,same,Bolivia,279,2026-02-12 02:42:18
212,Remy Bertola,1212.0,ATP,same,Switzerland,274,2026-02-12 02:42:18
213,Clement Tabur,1762.0,ATP,down,France,273,2026-02-12 02:42:18
214,Ilia Simakin,1238.0,ATP,same,World,273,2026-02-12 02:42:18
215,Oliver Crawford,945.0,ATP,up,United Kingdom,273,2026-02-12 02:42:18
216,Tristan Boyer,9037.0,ATP,down,USA,268,2026-02-12 02:42:18
217,Marco Cecchinato,1095.0,ATP,up,Italy,266,2026-02-12 02:42:18
218,Gonzalo Bueno,9209.0,ATP,up,Peru,265,2026-02-12 02:42:18
219,Luka Pavlovic,2103.0,ATP,same,France,262,2026-02-12 02:42:18
220,Yi Zhou,39862.0,ATP,same,China,261,2026-02-12 02:42:18
221,Hsiou Hsu Yu,867.0,ATP,same,Taiwan,259,2026-02-12 02:42:18
222,Rodrigo Pacheco Mendez,8762.0,ATP,same,Mexico,256,2026-02-12 02:42:18
223,Lukas Neumayer,2022.0,ATP,same,Austria,255,2026-02-12 02:42:18
224,Nerman Fatic,1904.0,ATP,same,Bosnia and Herzegovina,254,2026-02-12 02:42:18
225,Federico Cina,38264.0,ATP,same,Italy,252,2026-02-12 02:42:18
226,Dmitry Popko,1758.0,ATP,down,Kazakhstan,248,2026-02-12 02:42:18
227,Alberto Olivieri Genaro,2407.0,ATP,down,Argentina,247,2026-02-12 02:42:18
228,Santiago Rodriguez Taverna,361.0,ATP,down,Argentina,246,2026-02-12 02:42:18
229,Lautaro Midon,10018.0,ATP,down,Argentina,245,2026-02-12 02:42:18
230,Marc-Andrea Huesler,1746.0,ATP,down,Switzerland,244,2026-02-12 02:42:18
231,Ryan Peniston,1072.0,ATP,down,United Kingdom,244,2026-02-12 02:42:18
232,Matej Dodig,28615.0,ATP,down,Croatia,244,2026-02-12 02:42:18
233,Andrea Collarini,2189.0,ATP,up,Argentina,244,2026-02-12 02:42:18
234,Felipe Meligeni Alves,357.0,ATP,up,Brazil,243,2026-02-12 02:42:18
235,Max Houkes,1243.0,ATP,down,Netherlands,242,2026-02-12 02:42:18
236,Alexis Galarneau,557.0,ATP,up,Canada,237,2026-02-12 02:42:18
237,Borna Gojo,377.0,ATP,down,Croatia,236,2026-02-12 02:42:18
238,Marko Topo,833.0,ATP,down,Germany,234,2026-02-12 02:42:18
239,Johannus Monday,10071.0,ATP,up,United Kingdom,233,2026-02-12 02:42:18
240,Kaichi Uchida,568.0,ATP,down,Japan,231,2026-02-12 02:42:18
241,Daniel Michalski,582.0,ATP,down,Poland,229,2026-02-12 02:42:18
242,Murphy Cassone,12744.0,ATP,down,USA,227,2026-02-12 02:42:18
243,Josef Schwaerzler Joel,32558.0,ATP,same,Austria,226,2026-02-12 02:42:18
244,Toby Samuel,15184.0,ATP,down,United Kingdom,224,2026-02-12 02:42:18
245,Mitchell Krueger,1751.0,ATP,down,USA,221,2026-02-12 02:42:18
246,Rio Noguchi,690.0,ATP,up,Japan,221,2026-02-12 02:42:18
247,Kimmer Coppejans,1205.0,ATP,down,Belgium,220,2026-02-12 02:42:18
248,Ivan Gakhov,574.0,ATP,down,World,219,2026-02-12 02:42:18
249,Cristian Jianu Filip,576.0,ATP,down,Romania,218,2026-02-12 02:42:18
250,Edas Butvilas,9362.0,ATP,up,Lithuania,217,2026-02-12 02:42:18
251,Tom Gentzsch,2501.0,ATP,down,Germany,217,2026-02-12 02:42:18
252,Daniel Rincon,657.0,ATP,down,Spain,213,2026-02-12 02:42:18
253,Pedro Boscardin Dias,2003.0,ATP,down,Brazil,213,2026-02-12 02:42:18
254,Andres Andrade,6505.0,ATP,down,Ecuador,211,2026-02-12 02:42:18
255,Frederico Ferreira Silva,585.0,ATP,down,Portugal,210,2026-02-12 02:42:18
256,Mikhail Kukushkin,2970.0,ATP,up,Kazakhstan,208,2026-02-12 02:42:18
257,Gustavo Heide,2410.0,ATP,up,Brazil,207,2026-02-12 02:42:18
258,Charles Broom,745.0,ATP,down,United Kingdom,206,2026-02-12 02:42:18
259,Juncheng Shang,2413.0,ATP,down,China,205,2026-02-12 02:42:18
260,Franco Agamenone,373.0,ATP,down,Italy,204,2026-02-12 02:42:18
261,Patrick Zahraj,5791.0,ATP,down,Germany,204,2026-02-12 02:42:18
262,Pol Martin Tiffon,1338.0,ATP,down,Spain,203,2026-02-12 02:42:18
263,Sascha Gueymard Wayenburg,1742.0,ATP,down,France,203,2026-02-12 02:42:18
264,Dimitar Kuzmanov,371.0,ATP,down,Bulgaria,203,2026-02-12 02:42:18
265,Fajing Sun,876.0,ATP,down,China,202,2026-02-12 02:42:18
