event_key,event_date,set_number,number_game,player_served,serve_winner,serve_lost,game_score,number_point,point_score,break_point,set_point,match_point,download_time
12006834,2025-01-12,Set 4,3,First Player,First Player,,1 - 2,7,A - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,4,Second Player,Second Player,,1 - 3,1,15 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,4,Second Player,Second Player,,1 - 3,2,15 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,4,Second Player,Second Player,,1 - 3,3,15 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,4,Second Player,Second Player,,1 - 3,4,15 - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,5,First Player,Second Player,First Player,1 - 4,1,15 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,5,First Player,Second Player,First Player,1 - 4,2,15 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,5,First Player,Second Player,First Player,1 - 4,3,15 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,5,First Player,Second Player,First Player,1 - 4,4,30 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,5,First Player,Second Player,First Player,1 - 4,5,40 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,5,First Player,Second Player,First Player,1 - 4,6,40 - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,5,First Player,Second Player,First Player,1 - 4,7,40 - A,First Play,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,5,First Player,Second Player,First Player,1 - 4,8,40 - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,5,First Player,Second Player,First Player,1 - 4,9,40 - A,First Play,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,6,Second Player,Second Player,,1 - 5,1,0 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,6,Second Player,Second Player,,1 - 5,2,0 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,6,Second Player,Second Player,,1 - 5,3,0 - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,6,Second Player,Second Player,,1 - 5,4,15 - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,6,Second Player,Second Player,,1 - 5,5,30 - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,6,Second Player,Second Player,,1 - 5,6,40 - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,6,Second Player,Second Player,,1 - 5,7,40 - A,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,7,First Player,First Player,,2 - 5,1,15 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,7,First Player,First Player,,2 - 5,2,30 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,7,First Player,First Player,,2 - 5,3,40 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,8,Second Player,Second Player,,2 - 6,1,15 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,8,Second Player,Second Player,,2 - 6,2,15 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,8,Second Player,Second Player,,2 - 6,3,15 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,8,Second Player,Second Player,,2 - 6,4,15 - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 4,8,Second Player,Second Player,,2 - 6,5,30 - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,1,First Player,First Player,,1 - 0,1,15 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,1,First Player,First Player,,1 - 0,2,30 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,1,First Player,First Player,,1 - 0,3,40 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,2,Second Player,First Player,Second Player,2 - 0,1,15 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,2,Second Player,First Player,Second Player,2 - 0,2,15 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,2,Second Player,First Player,Second Player,2 - 0,3,15 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,2,Second Player,First Player,Second Player,2 - 0,4,30 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,2,Second Player,First Player,Second Player,2 - 0,5,40 - 30,First Play,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,2,Second Player,First Player,Second Player,2 - 0,6,40 - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,2,Second Player,First Player,Second Player,2 - 0,7,A - 40,First Play,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,3,First Player,First Player,,3 - 0,1,15 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,3,First Player,First Player,,3 - 0,2,30 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,3,First Player,First Player,,3 - 0,3,40 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,4,Second Player,Second Player,,3 - 1,1,15 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,4,Second Player,Second Player,,3 - 1,2,15 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,4,Second Player,Second Player,,3 - 1,3,30 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,4,Second Player,Second Player,,3 - 1,4,30 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,4,Second Player,Second Player,,3 - 1,5,30 - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,5,First Player,First Player,,4 - 1,1,0 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,5,First Player,First Player,,4 - 1,2,15 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,5,First Player,First Player,,4 - 1,3,30 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,5,First Player,First Player,,4 - 1,4,40 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,5,First Player,First Player,,4 - 1,5,40 - 30,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,6,Second Player,First Player,Second Player,5 - 1,1,0 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,6,Second Player,First Player,Second Player,5 - 1,2,15 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,6,Second Player,First Player,Second Player,5 - 1,3,30 - 15,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,6,Second Player,First Player,Second Player,5 - 1,4,40 - 15,First Play,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,6,Second Player,First Player,Second Player,5 - 1,5,40 - 30,First Play,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,6,Second Player,First Player,Second Player,5 - 1,6,40 - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,6,Second Player,First Player,Second Player,5 - 1,7,40 - A,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,6,Second Player,First Player,Second Player,5 - 1,8,40 - 40,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,6,Second Player,First Player,Second Player,5 - 1,9,A - 40,First Play,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,7,First Player,First Player,,6 - 1,1,15 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,7,First Player,First Player,,6 - 1,2,30 - 0,,,,2026-01-11 16:03:58
12006834,2025-01-12,Set 5,7,First Player,First Player,,6 - 1,3,40 - 0,,First Play,First Play,2026-01-11 16:03:58
12011296,2025-02-05,Set 1,1,First Player,First Player,,1 - 0,1,0 - 15,,,,2026-01-11 16:03:58
12011296,2025-02-05,Set 1,1,First Player,First Player,,1 - 0,2,15 - 15,,,,2026-01-11 16:03:58
12011296,2025-02-05,Set 1,1,First Player,First Player,,1 - 0,3,30 - 15,,,,2026-01-11 16:03:58
12011296,2025-02-05,Set 1,1,First Player,First Player,,1 - 0,4,30 - 30,,,,2026-01-11 16:03:58
